time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-16T05:38:11.618Z,-18.5595,-70.7254,56.404,4.20,mb,33,166,0.41,1.33,us,us7000mcce,2024-04-17T06:09:47.040Z,"46 km WSW of Arica, Chile",earthquake,8.25,12.59,0.152,16,reviewed,us,us
2024-04-18T18:43:29.850Z,40.0331,36.0731,4.551,4.20,mb,43,48,0.425,0.6,us,us7000mczh,2024-04-19T14:59:58.040Z,"4 km NNW of Sulusaray, Turkey",earthquake,3.91,4.792,0.141,14,reviewed,us,us
2024-04-19T04:30:28.706Z,26.6061,-110.8943,10,4.20,mb,21,241,1.396,0.76,us,us7000md2k,2024-04-19T04:58:04.040Z,"79 km NE of Loreto, Mexico",earthquake,9.57,2.002,0.095,31,reviewed,us,us
2024-04-19T06:02:04.943Z,1.5346,124.8261,210.351,4.20,mb,37,73,2.651,0.87,us,us7000md30,2024-04-19T08:23:01.040Z,"6 km NNW of Manado, Indonesia",earthquake,7.43,9.43,0.098,29,reviewed,us,us
2024-04-12T10:32:49.536Z,-8.2811,119.5113,187.23,4.30,mb,22,63,1.799,0.74,us,us7000mbmg,2024-04-13T13:02:05.040Z,"34 km N of Komodo, Indonesia",earthquake,7.25,9.756,0.189,8,reviewed,us,us
2024-04-13T02:23:14.906Z,38.9986,23.3732,10,4.30,mb,73,51,0.808,1.02,us,us7000mbu8,2024-04-13T15:08:57.936Z,"19 km ENE of Istiaía, Greece",earthquake,4.5,0.981,0.082,42,reviewed,us,us
2024-04-15T08:31:02.708Z,-7.1128,129.251,146.927,4.30,mb,15,108,5.125,0.7,us,us7000mc5c,2024-04-16T13:22:58.040Z,"293 km ENE of Lospalos, Timor Leste",earthquake,9.01,11.143,0.16,12,reviewed,us,us
2024-04-16T20:59:49.189Z,27.704,59.3661,10,4.30,mb,49,140,13.18,0.94,us,us7000mciq,2024-04-16T21:45:54.040Z,"127 km NNW of Fannūj, Iran",earthquake,5.48,1.951,0.08,44,reviewed,us,us
2024-04-16T21:09:50.752Z,38.1664,38.5872,10,4.30,mb,40,51,0.604,1.61,us,us7000mcit,2024-04-17T16:25:53.265Z,"14 km N of Sincik, Turkey",earthquake,4.36,1.947,0.202,7,reviewed,us,us
2024-04-17T01:48:27.614Z,52.4301,-170.4322,44.17,4.30,mb,42,174,1.103,0.64,us,us7000mckj,2024-04-17T07:33:32.853Z,"120 km WSW of Nikolski, Alaska",earthquake,9.18,9.319,0.085,39,reviewed,us,us
2024-04-17T15:35:31.617Z,-17.769,-178.5427,568.94,4.30,mb,24,133,2.373,0.94,us,us7000mcq7,2024-04-17T22:22:57.040Z,"229 km E of Levuka, Fiji",earthquake,12.88,11.263,0.122,19,reviewed,us,us
2024-04-18T00:23:36.211Z,41.3042,78.8069,10,4.30,mb,21,188,1.233,0.81,us,us7000mcsp,2024-04-18T01:43:38.960Z,"118 km WNW of Aykol, China",earthquake,5.8,1.92,0.201,7,reviewed,us,us
2024-04-18T06:41:45.764Z,50.1868,-129.9316,10,4.30,mb,159,150,1.237,0.76,us,us7000mctx,2024-04-19T10:07:57.040Z,"207 km WSW of Port McNeill, Canada",earthquake,7.32,1.978,0.045,140,reviewed,us,us
2024-04-18T17:18:03.773Z,13.4077,-90.269,42.863,4.30,mb,27,187,0.684,1.18,us,us7000mcz6,2024-04-19T13:44:11.040Z,"52 km WSW of Acajutla, El Salvador",earthquake,5.63,13.786,0.092,34,reviewed,us,us
2024-04-18T22:32:01.951Z,36.6981,54.3223,10,4.30,mb,52,105,4.814,0.57,us,us7000md12,2024-04-18T23:58:08.040Z,"19 km SW of Gorgān, Iran",earthquake,5.73,1.92,0.078,47,reviewed,us,us
2024-04-19T08:02:20.381Z,37.8421,26.8022,3.234,4.30,mwr,33,38,0.873,0.64,us,us7000md39,2024-04-19T16:08:42.758Z,"10 km ENE of Néon Karlovásion, Greece",earthquake,3.19,4.716,0.075,17,reviewed,us,us
2024-04-18T19:19:18.140Z,35.493,-118.513,3.22,4.32,mw,98,18,0.1724,0.18,ci,ci40549375,2024-04-19T20:00:42.627Z,"11 km S of Bodfish, CA",earthquake,0.11,0.55,,6,reviewed,ci,ci
2024-04-13T00:24:25.674Z,-2.6093,129.4525,10,4.40,mb,24,106,1.953,0.55,us,us7000mbu0,2024-04-13T00:44:27.040Z,"93 km NE of Masohi, Indonesia",earthquake,6.63,1.958,0.144,14,reviewed,us,us
